Run ID,Name,Source Type,Source Name,User,Status,consensus_treshold,quality_ratio,quality_treshold,window,global_Accuracy,global_ROC_AUC_score,global_Recall,global_f1-score,global_fn,global_fn_rate,global_fp,global_fp_rate,global_precision,global_tp,global_tp_rate,test_Accuracy,test_ROC_AUC_score,test_Recall,test_f1-score,test_fn,test_fn_rate,test_fp,test_fp_rate,test_precision,test_tp,test_tp_rate,train_Accuracy,train_ROC_AUC_score,train_Recall,train_f1-score,train_fn,train_fn_rate,train_fp,train_fp_rate,train_precision,train_tp,train_tp_rate
6e6afe1340e24e859bcec6001cb54e03,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.7,0.2861,0.5,4,0.3396978574810606,0.6131130698740592,0.28044895274138926,0.4362419278347989,2214976,0.6554734848484849,16317,0.004828657670454545,0.9814498599388825,863299,0.2554743726325758,0.8045454545454546,0.7395106662622587,0.5873015873015873,0.6324786324786325,78,0.11818181818181818,51,0.07727272727272727,0.6851851851851852,111,0.16818181818181818,0.8037878787878788,0.7482635656191262,0.6185430463576159,0.6432506887052343,288,0.10909090909090909,230,0.08712121212121213,0.6700143472022956,467,0.17689393939393938
e3089adc6ffa43728f2478cfca4c76f0,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.5,0.3785,0.8,4,0.42084546638257575,0.5876431081589415,0.38470052220805484,0.5475492237094981,1894061,0.5605057410037879,63018,0.018648792613636365,0.9494737145935961,1184214,0.35044211647727275,0.8424242424242424,0.8286829268292684,0.772,0.7877551020408163,57,0.08636363636363636,47,0.07121212121212121,0.8041666666666667,193,0.2924242424242424,0.8746212121212121,0.8646846114853428,0.8238238238238238,0.8325746079919069,176,0.06666666666666667,155,0.058712121212121215,0.8415132924335378,823,0.31174242424242427
45de66a843cb44f3a647d217f9ade10a,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.7,0.2455,0.8,4,0.24286783854166666,0.5641566471289706,0.1732447555855146,0.2942243380924783,2544980,0.7531309185606061,13521,0.004001242897727273,0.9752732180477528,533295,0.15781693892045454,0.7772727272727272,0.6316748475383013,0.345679012345679,0.4324324324324324,106,0.1606060606060606,41,0.06212121212121212,0.5773195876288659,56,0.08484848484848485,0.8359848484848484,0.7236817640934107,0.5030864197530864,0.6009216589861751,322,0.12196969696969696,111,0.042045454545454546,0.7459954233409611,326,0.12348484848484849
4bb4bec3b8464210b2fedefd83008bfa,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.7,0.6796,0.3,9,0.657565400094697,0.5221760302706194,0.6869041914708724,0.7851596187604608,963795,0.2852139559659091,193360,0.05722064393939394,0.9162160288408209,2114480,0.6257339015151515,0.935374149659864,0.9186702127659574,0.965,0.9530864197530864,7,0.023809523809523808,12,0.04081632653061224,0.9414634146341463,193,0.6564625850340136,0.9420289855072463,0.9334572465896046,0.9573400250941029,0.9573400250941029,34,0.028985507246376812,34,0.028985507246376812,0.9573400250941029,763,0.6504688832054561
1e88b3ba0e3a42928d60edae810238a2,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.5,0.9332,0.5,9,0.9281785629734849,0.6480852255250824,0.9888746132168179,0.9616634982715332,34247,0.010134647253787878,208452,0.06168678977272727,0.9359098288075561,3044028,0.9008132102272727,0.9455782312925171,0.7158759124087591,0.9817518248175182,0.9711191335740073,5,0.017006802721088437,11,0.03741496598639456,0.9607142857142857,269,0.9149659863945578,0.9650468883205456,0.7490867579908675,0.9981735159817352,0.9815895823978447,2,0.0017050298380221654,39,0.03324808184143223,0.965547703180212,1093,0.9317988064791134
4da4c17e0bc74afbacaf614ee792335b,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.5,0.4148,0.5,4,0.6902536103219697,0.7279085646222216,0.5669991544319898,0.6931475147527065,902802,0.26716441761363635,143893,0.04258197206439394,0.8914899553571428,1182187,0.3498422703598485,0.8666666666666667,0.8563594417760297,0.7956204379562044,0.83206106870229,56,0.08484848484848485,32,0.048484848484848485,0.872,218,0.3303030303030303,0.9045454545454545,0.8983641441681074,0.8621004566210045,0.8822429906542055,151,0.0571969696969697,101,0.038257575757575754,0.9033492822966507,944,0.3575757575757576
279f33ceea794fd79762b969be1f4b4c,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.7,0.6435,0.5,9,0.6539136482007576,0.6214488681285805,0.6609487456448823,0.7767567997840669,1043693,0.3088580137310606,125802,0.03722833806818182,0.9417686855670103,2034582,0.60208984375,0.9421768707482994,0.9359788359788359,0.9576719576719577,0.9551451187335092,8,0.027210884353741496,9,0.030612244897959183,0.9526315789473684,181,0.6156462585034014,0.9497016197783461,0.9470452168953389,0.9562913907284768,0.9607451763140386,33,0.028132992327365727,26,0.02216538789428815,0.9652406417112299,722,0.6155157715260017
39b6fe17b622406cbf12c3c910ccabf4,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.7,0.2861,0.5,4,0.631773496685606,0.6982996520298758,0.41401609313046733,0.5811456976001675,1221770,0.36155598958333335,22541,0.0066705137310606065,0.9745517973265896,863219,0.2554506983901515,0.806060606060606,0.7500758265089476,0.6190476190476191,0.6464088397790054,72,0.10909090909090909,56,0.08484848484848485,0.6763005780346821,117,0.17727272727272728,0.8132575757575757,0.7588648620162666,0.6317880794701987,0.6592950932964754,278,0.1053030303030303,215,0.08143939393939394,0.6893063583815029,477,0.1806818181818182
61a66e03e0cb4121bad6c67186bdfdb8,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.5,0.3785,0.8,4,0.6815195904356061,0.7251954097930438,0.5385572777602184,0.6760339688878413,962103,0.2847132457386364,114106,0.033767163825757576,0.9077552643832781,1122886,0.33229344223484847,0.8348484848484848,0.8202439024390245,0.76,0.7770961145194273,60,0.09090909090909091,49,0.07424242424242425,0.7949790794979079,190,0.2878787878787879,0.8810606060606061,0.8706476128779601,0.8278278278278278,0.8404471544715447,172,0.06515151515151515,142,0.05378787878787879,0.8534571723426213,827,0.31325757575757573
f3ed57e6fcbd420abb33899c848f57b5,,LOCAL,/home/aura-alexis/github/ecg_qc_training/env/bin/airflow,aura-alexis,FINISHED,0.7,0.2455,0.8,4,0.528034150094697,0.6139824614059913,0.24670298020756945,0.39211042177333316,1570616,0.46478929924242424,24251,0.007176550662878788,0.9549760129515209,514373,0.1522173887310606,0.7772727272727272,0.6212628290941544,0.3148148148148148,0.4096385542168675,111,0.16818181818181818,36,0.05454545454545454,0.5862068965517241,51,0.07727272727272727,0.8337121212121212,0.7211345381526104,0.5,0.5961361545538179,324,0.12272727272727273,115,0.043560606060606064,0.7380410022779044,324,0.12272727272727273
